,CandidateID,CandidateName,CandidateNameEng,Gender,Age,PartyID,SymbolID,SymbolName,SymbolNameEng,PoliticalPartyName,PoliticalPartyNameEng,TotalVoteReceived,Remarks,RemarksEng,PostId,Ward,id,GaPa_NaPa,districtId,districtIdy,district,stateId,state
0,168929,विश्वनाथ पौडेल,Bishwanath Poudel,पुरुष,46,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),5177,निर्वाचित,Elected,1,,5423,आँधीखोला गाउँपालिका,41,41,स्याङ्जा,4.0,गण्डकी प्रदेश
1,191617,प्रेम राज  पौडेल,Prem Raj Paudel,पुरुष,54,1,1,रुख,,नेपाली काँग्रेस,Nepali Congress,4351,,,1,,5423,आँधीखोला गाउँपालिका,41,41,स्याङ्जा,4.0,गण्डकी प्रदेश
2,187327,हरि प्रसाद ढकाल,Hari Prasad Dhakal,पुरुष,33,999,2316,पुतली,,स्वतन्त्र,Independent ,721,,,1,,5423,आँधीखोला गाउँपालिका,41,41,स्याङ्जा,4.0,गण्डकी प्रदेश
3,229197,ख्याम वहादुर गुरुङ्ग,Khyam Bahadur Gurung,पुरुष,50,4,2279,हलो,,राष्ट्रिय प्रजातन्त्र पार्टी,Rastriya Prajatantra Party,62,,,1,,5423,आँधीखोला गाउँपालिका,41,41,स्याङ्जा,4.0,गण्डकी प्रदेश
4,168981,सिता थापा,Sita Thapa,महिला,48,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),5273,निर्वाचित,Elected,2,,5423,आँधीखोला गाउँपालिका,41,41,स्याङ्जा,4.0,गण्डकी प्रदेश
5,194666,रामचन्द्र प्रसाद पौडेल,Ramchandra Prasad Paudel,पुरुष,60,116,1020,कलम,,नेपाल कम्युनिष्ट पार्टी (एकिकृत समाजबादी) ,Nepal Communist Party(Ekakrit Samajbadi),3817,,,2,,5423,आँधीखोला गाउँपालिका,41,41,स्याङ्जा,4.0,गण्डकी प्रदेश
6,186448,मीना देवी शर्मा (ढकाल),Mina Devi Sharma (Dhakal),महिला,43,117,2278,ढल्केको छाता,,"जनता समाजवादी पार्टी, नेपाल ",,169,,,2,,5423,आँधीखोला गाउँपालिका,41,41,स्याङ्जा,4.0,गण्डकी प्रदेश
7,220241,मञ्जु गुरुङ्ग,Manju Gurung,महिला,45,4,2279,हलो,,राष्ट्रिय प्रजातन्त्र पार्टी,Rastriya Prajatantra Party,65,,,2,,5423,आँधीखोला गाउँपालिका,41,41,स्याङ्जा,4.0,गण्डकी प्रदेश
8,325037,थान कुमारी सुवेदी,Than Kumari Subedi,महिला,44,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),20,निर्वाचित,Elected,9,,5423,आँधीखोला गाउँपालिका,41,41,स्याङ्जा,4.0,गण्डकी प्रदेश
9,325162,गुमा देवी सुनार,Guma Devi Sunar,महिला,50,2,2,सूर्य,,नेपाल कम्युनिष्ट पार्टी (एमाले),Nepal Communist Party (UML),20,निर्वाचित,Elected,9,,5423,आँधीखोला गाउँपालिका,41,41,स्याङ्जा,4.0,गण्डकी प्रदेश
